1734001578	31	80	36	29	20	18	21	18	1438	1183	1183	1183	1183	1183	1183	1183

1734001647	37	30	34	31	20	17	20	17	1438	1183	1183	1183	1183	1183	1183	1183

1734001721	33	27	31	28	18	15	19	15	1439	1183	1183	1183	1183	1183	1183	1183

1734001792	580	429	1031	336	29	18	23	18	256	76	98	92	1184	1184	1184	1184

1734001920	659	421	858	363	669	593	728	17	256	63	104	78	100	64	58	294

1734002114	37	31	34	32	21	18	21	18	1439	1183	1183	1183	1183	1183	1183	1183

1734002213	463	377	528	646	674	501	625	17	256	68	109	69	102	63	65	294

1734002251	26	22	27	25	17	14	19	15	1438	1183	1183	1183	1183	1183	1183	1183

1734002394	561	328	56	32	21	18	21	18	256	78	1184	1184	1183	1183	1183	1185

1734002418	29	26	30	29	20	18	21	18	1439	1183	1183	1183	1183	1183	1183	1183

1734002497	36	31	34	31	21	18	21	17	1438	1183	1183	1183	1183	1183	1183	1183

1734002594	578	500	721	605	21	19	21	19	256	69	109	76	1184	1184	1184	1184

1734002741	33	30	34	31	608	17	20	17	1438	1183	1183	1183	133	1183	1182	1183

1734002755	601	540	515	166	20	18	21	18	256	61	103	117	1184	1184	1184	1184

1734002780	34	30	34	32	22	20	22	20	1438	1183	1183	1183	1183	1183	1183	1183

1734002903	443	430	659	304	634	557	513	17	256	67	97	86	91	68	53	300

1734003008	430	388	631	610	575	490	472	13	256	68	101	73	96	67	54	300

1734003262	1121	173	1121	81	254	233	62	18	256	1185	137	1184	117	84	1183	1183

1734003281	1121	374	588	302	546	454	17	14	256	71	102	85	95	68	1184	300

1734003375	467	387	657	367	581	26	21	18	256	69	110	82	109	1184	1184	1184

1734003382	548	631	539	352	32	19	22	19	256	67	103	88	1184	1184	1184	1184

1734003626	29	26	31	29	20	17	21	18	1438	1183	1183	1183	1183	1183	1183	1183

1734003771	502	682	950	328	534	1122	406	18	256	59	107	83	110	52	78	1184

1734003877	33	27	32	30	25	19	22	19	1439	1183	1183	1183	1183	1183	1183	1183

1734004021	515	545	648	35	24	22	23	22	256	71	100	1185	1184	1184	1184	1184

1734004081	573	375	551	475	419	17	21	19	256	66	106	74	104	1184	1184	1184

1734004240	31	46	33	31	22	19	22	19	1438	1183	1183	1183	1183	1183	1183	1183

1734004244	37	69	38	39	25	23	24	22	1438	1183	1183	1183	1183	1183	1183	1183

1734004320	32	28	34	32	22	20	22	19	1438	1183	1183	1183	1183	1183	1183	1183

1734004355	31	27	31	29	20	17	20	16	1438	1183	1183	1183	1183	1183	1183	1183

1734004571	34	30	33	31	21	19	21	19	1438	1183	1183	1183	1183	1183	1183	1183

1734004699	35	29	32	29	20	16	20	16	1438	1183	1183	1183	1183	1183	1183	1183

1734004719	39	37	37	35	24	21	23	21	1438	1183	1183	1183	1183	1183	1183	1183

1734004950	887	1120	1120	1120	1120	1120	1121	37	256	74	112	82	100	64	84	300

1734004993	34	30	35	33	23	21	23	20	1438	1183	1183	1183	1183	1183	1183	1183

1734005013	389	29	26	24	16	12	18	13	267	1183	1183	1183	1183	1183	1183	1183

1734005022	671	30	33	31	20	18	20	17	256	1183	1183	1183	1183	1183	1182	1183

